,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
0,Ranjani _ Gayathri - Evari Bodhana-1,0.012785556,0.239993617,1951.697184,1891.786486,3555.192493,0.124689151,-511.7949775,86.20996853,10.36456122,40.12206304,4.861469181,-30.39232851,-0.487364004,-17.41464594,-14.10139159,-5.693649872,-15.17904407,1.104093296,-17.78056445,-0.200135004,-0.435820625,-12.48010694,-6.837890791,-2.183184304,-17.17105904,-3.772684137,abhogi
1,Ranjani _ Gayathri - Evari Bodhana-2,0.012785556,0.239993617,1951.697184,1891.786486,3555.192493,0.124689151,-511.7949775,86.20996853,10.36456122,40.12206304,4.861469181,-30.39232851,-0.487364004,-17.41464594,-14.10139159,-5.693649872,-15.17904407,1.104093296,-17.78056445,-0.200135004,-0.435820625,-12.48010694,-6.837890791,-2.183184304,-17.17105904,-3.772684137,abhogi
2,Ranjani _ Gayathri - Evari Bodhana-3,0.028379047,0.221932548,1883.512446,2247.942147,3594.285871,0.069945257,-376.5841663,84.04820067,-8.549069329,11.34415385,-11.33201545,-49.5341286,-5.711490462,-34.5201839,-20.80053255,-0.705700686,-37.02620632,-1.093794974,-27.32715304,-8.259421431,-11.66038484,-12.43460771,-3.252150491,-4.550836424,-10.57858625,4.793967976,abhogi
3,Ranjani _ Gayathri - Evari Bodhana-4,0.033440158,0.236698304,1950.372933,1955.295769,3679.008411,0.091470208,-330.9778055,80.6705475,-51.88184947,5.556398309,-23.7161511,-46.73987091,-9.67102864,-32.22849748,-8.027130361,0.711725007,-34.43948664,-6.773110831,-19.52824543,1.243168965,-6.776258486,4.296414811,8.140313022,7.22917451,-2.980965316,7.953486855,abhogi
4,Ranjani _ Gayathri - Evari Bodhana-5,0.026543114,0.222218825,1292.973154,1275.838778,2434.298285,0.065595428,-412.5359155,108.8776185,-32.2122587,11.92729531,-14.37433671,-34.3230579,-15.27260807,-27.71012767,-19.93074076,-3.762018853,-22.54455901,-19.03593227,-17.87658726,-0.964472069,-3.497851698,-0.733380952,3.863928516,6.896090597,-8.955238721,-5.086196046,abhogi
5,Ranjani _ Gayathri - Evari Bodhana-6,0.0183615,0.257759302,1648.145885,1561.645614,2895.13916,0.091520412,-499.1011309,89.62877186,-3.961539063,-2.749078354,-17.94030817,-19.79903663,-4.172880597,-28.59170942,-16.99740241,4.16509107,-17.19269673,-5.793970538,-17.4354543,-3.27126296,-6.95160511,-9.304582757,-2.798214764,0.344078712,0.545956149,11.48466438,abhogi
6,Ranjani _ Gayathri - Evari Bodhana-7,0.028500071,0.248354494,1357.525134,1431.651278,2563.103234,0.067970125,-386.2883083,128.341283,-33.37999388,5.446625557,-38.26164282,-19.82661962,-4.952428494,-44.09138964,-14.6114577,9.720311312,-29.09062591,-11.71962628,-23.25300509,-5.989104968,-10.25631584,-11.66639832,2.076907046,4.844913562,-1.742441431,9.414890589,abhogi
7,Ranjani _ Gayathri - Evari Bodhana-8,0.023576103,0.247630079,1144.888034,1169.623935,2094.255646,0.058808319,-414.2360122,150.7633663,-31.86010187,17.70585854,-28.51172814,-24.85160391,-1.458166621,-39.79862116,-12.31981112,8.15019521,-20.17673027,-10.27583852,-15.47160361,-6.918865483,-7.533288051,-12.66055401,0.275768636,-0.020508766,-8.019353918,3.325052118,abhogi
8,Ranjani _ Gayathri - Evari Bodhana-9,0.025950294,0.231200952,1667.484291,1426.050308,2965.410191,0.096507757,-415.6526143,106.9012605,-53.88091026,6.403414188,-36.04678973,-34.62188992,-3.635715966,-40.50930343,-6.115538664,6.228464207,-29.85313138,-8.23395435,-15.08704442,-5.595823643,-10.37123494,-3.466672235,6.339421676,14.14440457,8.037714481,15.82076131,abhogi
9,Ranjani _ Gayathri - Evari Bodhana-10,0.030689681,0.234296095,1488.269083,1560.567521,2745.695698,0.06931393,-377.1248736,111.4307268,-48.84279967,-7.629734242,-41.17805191,-29.35433726,-17.84756775,-39.66136548,-18.63892086,4.630331933,-37.37817046,-10.0660286,-19.08465466,-2.137271182,-7.001569852,-1.402066611,6.592124043,12.12517039,4.519529043,12.1855449,abhogi
