,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
0,Madurai Mani Iyer - Diwakara Tanujam.mp3-1,0.24767477810382843,0.30571175836076836,1228.491017541211,929.3630504101627,2017.2878017366486,0.08545639935661764,-129.48862722495016,191.33916418976844,-100.67709298513738,6.417244385965222,-16.970333592865853,-16.08822759886707,-19.97942830120862,-30.010012618808634,-14.27077013798016,-18.029580024933363,-13.545329920415568,-15.933134330620872,-9.69799952524459,-9.301477151955112,-15.368612769827523,-10.326236981298091,-9.188416704407347,-6.751254042505376,-6.369477725152229,-4.280661912788426,yadukula kambhoji
1,Madurai Mani Iyer - Diwakara Tanujam.mp3-2,0.24691998958587646,0.3356080610073245,1180.4891570369784,890.2188300222765,1949.3965455991197,0.08343222414376934,-115.94587238989679,202.31030180922923,-98.08657189389642,-2.7653318453271414,-11.761814275515986,-20.41201993437299,-18.950643758425375,-29.928072490345816,-16.13220829069196,-21.560832907447903,-18.00271189665284,-15.266379551127708,-9.678438147545029,-11.228719061101252,-16.11620018351645,-9.437622250450056,-10.340269459222815,-9.28271884430425,-8.65035620108938,-6.60339030729293,yadukula kambhoji
2,Madurai Mani Iyer - Diwakara Tanujam.mp3-3,0.24773161113262177,0.33226533090366916,1210.8664273547658,914.6991749128358,2026.596078784104,0.08548663348974458,-115.87878200487305,202.73307138736035,-103.60364171243465,4.334687594567367,-13.583422488360968,-20.23026289652312,-19.772236996287127,-29.909149674475376,-15.86451214388243,-21.51980551041195,-17.046095356325676,-15.581659050872277,-7.640255157771653,-10.112379684060734,-15.655596592486603,-10.358031064306429,-11.439683777336347,-8.517647329515862,-8.33288162940367,-6.084700380147179,yadukula kambhoji
3,Madurai Mani Iyer - Diwakara Tanujam.mp3-4,0.25604894757270813,0.3280955936707747,1245.9766218724853,937.4796742926316,2030.5127217673664,0.08804784249226007,-108.18165648109887,198.336490213872,-106.34138505055377,5.316062830542008,-18.32204812244559,-14.824200909678236,-19.349543073652715,-30.97813990593168,-13.327624209672784,-19.925940051425265,-15.519648659760017,-17.2588726970529,-11.478062448437386,-11.327807666937135,-15.41657158339413,-11.287637029573625,-11.25590485180804,-6.457401444083442,-5.643154816591553,-5.464181668726062,yadukula kambhoji
4,Madurai Mani Iyer - Diwakara Tanujam.mp3-5,0.25662708282470703,0.32782327185153487,1222.3585109804983,922.0198114584308,1995.2462683521187,0.0870444471991099,-111.1685859074462,201.54116036277765,-105.12927179986097,4.218769665419551,-18.77440042079058,-16.07903216608096,-20.855725872767596,-30.420014082009263,-12.053116560494825,-22.18562194431941,-17.19652346861248,-15.598287610151687,-10.71072663537108,-10.313726080901933,-13.938992365431057,-10.10671458609639,-10.499927850801964,-7.63604492813448,-7.792031618375654,-6.366081203664142,yadukula kambhoji
5,Madurai Mani Iyer - Diwakara Tanujam.mp3-6,0.25500693917274475,0.34416561313672955,1205.592710438084,922.4146009713797,1987.346316122049,0.08512609145220588,-108.16418348977261,205.30140812303824,-104.19566093076688,6.056687962778637,-16.01925557678342,-16.277705191889535,-20.455090427232946,-27.78211953422879,-14.113426263354503,-23.221556065507556,-16.80026961568322,-16.173385158189124,-9.386222566745655,-10.395935811409004,-16.440048054746523,-11.209649467129719,-10.134957666556904,-7.590515968671194,-9.648915973662008,-6.389996137059355,yadukula kambhoji
6,Madurai Mani Iyer - Diwakara Tanujam.mp3-7,0.27616626024246216,0.34324349769387497,1233.448278786372,949.9587510946313,2014.771150287829,0.08739138387674149,-96.58541115370478,199.95891423427662,-103.49694857422129,7.107653513473375,-20.927092186746336,-11.340881275620232,-19.83305169843685,-29.90346027213542,-13.32163517894618,-21.553921761301158,-15.35561387067846,-17.11802795654825,-12.08809573554075,-10.979118191574456,-14.44589685057132,-10.853985731993715,-11.036796277486317,-6.373049167429484,-6.415853669414246,-6.019461914204014,yadukula kambhoji
7,Madurai Mani Iyer - Diwakara Tanujam.mp3-8,0.29561692476272583,0.272178218124642,1363.2885092889082,1048.5266023072597,2231.4781732234424,0.09539700440208979,-91.97228928930237,180.1370872573328,-106.23098350285447,16.581476995279402,-25.908756350055018,-9.785718166909085,-23.797687551406383,-28.774071200185517,-11.310699259046274,-25.909685851828502,-17.637626375658456,-14.506108781330605,-9.73275070913247,-7.997020823845972,-10.137367605152185,-7.445268763193937,-9.56994979111046,-8.66993384182941,-9.133377134186405,-5.634848298641508,yadukula kambhoji
8,Madurai Mani Iyer - Diwakara Tanujam.mp3-9,0.29105839133262634,0.32923142545612916,1308.8614598851545,1001.810411960647,2119.8705147663504,0.09352097644156347,-83.19922371371625,186.46334575042513,-102.67940692945365,7.768243066668818,-21.534315741963244,-13.631013624127624,-22.618856244533646,-29.2170436167829,-10.278139972433795,-22.26683937782145,-15.758205671162099,-18.054212570350067,-12.029225058592019,-8.832441360124982,-14.886090817289013,-10.86010649282689,-9.855595868410528,-7.78862849575028,-7.62747169232568,-5.305582796788569,yadukula kambhoji
9,Madurai Mani Iyer - Diwakara Tanujam.mp3-10,0.28455761075019836,0.32810437739429843,1284.0530892220372,986.9529812990896,2094.3790022433727,0.09038418512964397,-89.16980981106363,191.45634035366018,-103.3767569212851,8.741870304473364,-20.897043603177163,-12.236412228909375,-22.255581033072488,-29.597455372743067,-12.507987934092654,-22.858220457043153,-15.3271254539842,-17.47184698134319,-11.646744701883675,-9.272840203110059,-15.211449927956359,-10.708251786800718,-9.142554518331261,-7.542170264126684,-8.278666656258608,-5.855440799801902,yadukula kambhoji
